1 6124841
2 3573814
4 2919994
6 2590049
8 2485704
10 2851913
12 2869262
14 3108725
16 3588906
18 3673796
20 3656121
22 4081102
24 4226301
26 4359065
28 4629261
30 4211787
32 4889265
